run_id,dag_id,status,last_run_start,next_dagrun_create_after,task_status,is_active,timetable_description
national_cinemedia_client_delivery_2024-09-10T11:00:00+00:00_2024-10-10T11:00:01.398070+00:00_success,national_cinemedia_client_delivery,success,2024-10-10T11:00:01.398070+00:00,2024-09-10T11:00:00+00:00,{},True,"At 11:00, on day 10 of the month"
mytraffic_client_delivery_2024-08-10T00:00:00+00:00_2024-09-30T09:00:36.732153+00:00_failed,mytraffic_client_delivery,failed,2024-09-30T09:00:36.732153+00:00,2024-08-10T00:00:00+00:00,{},True,"At 00:00, on day 10 of the month"
mytraffic_client_delivery_2024-09-10T00:00:00+00:00_2024-10-10T00:00:00.374104+00:00_success,mytraffic_client_delivery,success,2024-10-10T00:00:00.374104+00:00,2024-09-10T00:00:00+00:00,{},True,"At 00:00, on day 10 of the month"
venpath_first_client_delivery_2024-08-28T09:00:00+00:00_2024-09-30T07:34:50.421921+00:00_failed,venpath_first_client_delivery,failed,2024-09-30T07:34:50.421921+00:00,2024-08-28T09:00:00+00:00,{},True,"At 09:00, on day 28 of the month"
tiendeo_client_delivery_2024-08-08T00:00:00+00:00_2024-09-30T07:30:36.516090+00:00_failed,tiendeo_client_delivery,failed,2024-09-30T07:30:36.516090+00:00,2024-08-08T00:00:00+00:00,{},True,"At 00:00, on day 8 of the month"
tiendeo_client_delivery_2024-09-08T00:00:00+00:00_2024-10-08T00:00:00.755106+00:00_success,tiendeo_client_delivery,success,2024-10-08T00:00:00.755106+00:00,2024-09-08T00:00:00+00:00,{},True,"At 00:00, on day 8 of the month"
venpath_second_client_delivery_2024-08-28T10:00:00+00:00_2024-09-30T07:34:52.139469+00:00_failed,venpath_second_client_delivery,failed,2024-09-30T07:34:52.139469+00:00,2024-08-28T10:00:00+00:00,{},True,"At 10:00, on day 28 of the month"
taptap_digital_client_delivery_2024-10-01T11:37:34.692522+00:00_2024-10-01T11:47:10.916833+00:00_failed,taptap_digital_client_delivery,failed,2024-10-01T11:47:10.916833+00:00,2024-10-01T11:37:34.692522+00:00,{},True,"At 10:00, on day 1 of the month"
taptap_digital_client_delivery_2024-10-01T10:00:00+00:00_2024-11-01T10:00:01.032771+00:00_success,taptap_digital_client_delivery,success,2024-11-01T10:00:01.032771+00:00,2024-10-01T10:00:00+00:00,{},True,"At 10:00, on day 1 of the month"
venpath_third_client_delivery_2024-08-28T11:00:00+00:00_2024-09-30T07:34:52.140727+00:00_failed,venpath_third_client_delivery,failed,2024-09-30T07:34:52.140727+00:00,2024-08-28T11:00:00+00:00,{},True,"At 11:00, on day 28 of the month"
